domain,rmm_tool,pattern,regex
connect.in.ngrok-agent.com,ngrok,connect.in.ngrok-agent.com,^(?:connect\.in\.ngrok-agent\.com)$
connect.jp.ngrok-agent.com,ngrok,connect.jp.ngrok-agent.com,^(?:connect\.jp\.ngrok-agent\.com)$
connect.ngrok-agent.com,ngrok,connect.ngrok-agent.com,^(?:connect\.ngrok-agent\.com)$
connect.sa.ngrok-agent.com,ngrok,connect.sa.ngrok-agent.com,^(?:connect\.sa\.ngrok-agent\.com)$
connect.us.ngrok-agent.com,ngrok,connect.us.ngrok-agent.com,^(?:connect\.us\.ngrok-agent\.com)$
connectwise.com,LabTech RMM (Now ConnectWise Automate),connectwise.com,^(?:connectwise\.com)$
connectwise.com,ScreenConnect,*.connectwise.com,^(?:.*\.connectwise\.com)$
content.rview.com,RemoteView,*.content.rview.com,^(?:.*\.content\.rview\.com)$
content.rview.com,RemoteView,content.rview.com,^(?:content\.rview\.com)$
control.connectwise.com,ConnectWise Control,control.connectwise.com,^(?:control\.connectwise\.com)$
control.connectwise.com,ScreenConnect,control.connectwise.com,^(?:control\.connectwise\.com)$
crossloop.com,CrossLoop,*.crossloop.com,^(?:.*\.crossloop\.com)$
crossloop.en.softonic.com,CrossLoop,crossloop.en.softonic.com,^(?:crossloop\.en\.softonic\.com)$
dameware.com,DameWare,dameware.com,^(?:dameware\.com)$
dataplicity.com,Dataplicity,*.dataplicity.com,^(?:.*\.dataplicity\.com)$
dataplicity.com,Dataplicity,dataplicity.com,^(?:dataplicity\.com)$
deepfreeze.com,Faronics Deep Freeze,deepfreeze.com,^(?:deepfreeze\.com)$
deploy.faronics.com,Faronics Deploy,deploy.faronics.com,^(?:deploy\.faronics\.com)$
deploy01.kaseya.com,Kaseya (VSA),deploy01.kaseya.com,^(?:deploy01\.kaseya\.com)$
deskday.ai,DeskDay,deskday.ai,^(?:deskday\.ai)$
deskroll.com,SkyFex,*.deskroll.com,^(?:.*\.deskroll\.com)$
deskroll.com,SkyFex,deskroll.com,^(?:deskroll\.com)$
desktop.qq.com,QQ IM-remote assistance,*.desktop.qq.com,^(?:.*\.desktop\.qq\.com)$
desktopcentral.manageengine.cn,Manage Engine (Desktop Central),desktopcentral.manageengine.cn,^(?:desktopcentral\.manageengine\.cn)$
desktopcentral.manageengine.com,Manage Engine (Desktop Central),desktopcentral.manageengine.com,^(?:desktopcentral\.manageengine\.com)$
desktopcentral.manageengine.com.eu,Manage Engine (Desktop Central),desktopcentral.manageengine.com.eu,^(?:desktopcentral\.manageengine\.com\.eu)$
desktopstreaming.com,GoToAssist,*.desktopstreaming.com,^(?:.*\.desktopstreaming\.com)$
devapi.monitic.com,Monitic,devapi.monitic.com,^(?:devapi\.monitic\.com)$
devrmm.lunixar.com,Lunixar,devrmm.lunixar.com,^(?:devrmm\.lunixar\.com)$
devtunnels.ms,Visual Studio Dev Tunnel,*.devtunnels.ms,^(?:.*\.devtunnels\.ms)$
distantdesktop.com,Distant Desktop,*.distantdesktop.com,^(?:.*\.distantdesktop\.com)$
dms.zoho.com,Manage Engine (Desktop Central),*.dms.zoho.com,^(?:.*\.dms\.zoho\.com)$
dms.zoho.com.eu,Manage Engine (Desktop Central),*.dms.zoho.com.eu,^(?:.*\.dms\.zoho\.com\.eu)$
docs.baramundi.com,baramundi Management Suite,docs.baramundi.com,^(?:docs\.baramundi\.com)$
docs.faronics.com,Faronics Deploy,docs.faronics.com,^(?:docs\.faronics\.com)$
docs.faronics.com,Faronics Insight,docs.faronics.com,^(?:docs\.faronics\.com)$
docs.invgate.net,InvGate,docs.invgate.net,^(?:docs\.invgate\.net)$
docs.tacticalrmm.com,Tactical RMM,docs.tacticalrmm.com,^(?:docs\.tacticalrmm\.com)$
domotz.co,Domotz,*.domotz.co,^(?:.*\.domotz\.co)$
domotz.com,Domotz,domotz.com,^(?:domotz\.com)$
donkz.nl,Remote Desktop Plus,donkz.nl,^(?:donkz\.nl)$
download.hoptodesk.com,HopToDesk,download.hoptodesk.com,^(?:download\.hoptodesk\.com)$
download.pilixo.com,Pilixo,download.pilixo.com,^(?:download\.pilixo\.com)$
download.remsupp.com,RemSupp,download.remsupp.com,^(?:download\.remsupp\.com)$
downloads.io,Level,downloads.io,^(?:downloads\.io)$
downloads.lunixar.com,Lunixar,downloads.lunixar.com,^(?:downloads\.lunixar\.com)$
downloads.vector-networks.com,VIZOR,downloads.vector-networks.com,^(?:downloads\.vector-networks\.com)$
downloads.zohocdn.com,Zoho Assist,downloads.zohocdn.com,^(?:downloads\.zohocdn\.com)$
downloads.zohodl.com.cn,Zoho Assist,downloads.zohodl.com.cn,^(?:downloads\.zohodl\.com\.cn)$
dronemaker.org,SimpleHelp,dronemaker.org,^(?:dronemaker\.org)$
duetdisplay.com,Duet Display,*.duetdisplay.com,^(?:.*\.duetdisplay\.com)$
duetdisplay.com,Duet Display,duetdisplay.com,^(?:duetdisplay\.com)$
dwservice.net,DW Service,*.dwservice.net,^(?:.*\.dwservice\.net)$
ehorus.com,eHorus,ehorus.com,^(?:ehorus\.com)$
electric.ai,Electric AI (Kaseya),electric.ai,^(?:electric\.ai)$
emcosoftware.com,EMCO Remote Console,emcosoftware.com,^(?:emcosoftware\.com)$
encapto.com,Encapto,encapto.com,^(?:encapto\.com)$
endpoint.ingress.rapid7.com,Rapid7,*.endpoint.ingress.rapid7.com,^(?:.*\.endpoint\.ingress\.rapid7\.com)$
ericom.com,Ericom AccessNow,ericom.com,^(?:ericom\.com)$
ericom.com,Ericom Connect,ericom.com,^(?:ericom\.com)$
everywhere.laplink.com,Laplink Everywhere,everywhere.laplink.com,^(?:everywhere\.laplink\.com)$
ezhelp.co.kr,ezHelp,*.ezhelp.co.kr,^(?:.*\.ezhelp\.co\.kr)$
ezhelp.co.kr,ezHelp,ezhelp.co.kr,^(?:ezhelp\.co\.kr)$
faronics-deploy-int-production-installers.s3.eu-west-1.amazonaws.com,Faronics Deploy,faronics-deploy-int-production-installers.s3.eu-west-1.amazonaws.com,^(?:faronics-deploy-int-production-installers\.s3\.eu-west-1\.amazonaws\.com)$
faronics-deploy-na-production-installers.s3.us-west-2.amazonaws.com,Faronics Deploy,faronics-deploy-na-production-installers.s3.us-west-2.amazonaws.com,^(?:faronics-deploy-na-production-installers\.s3\.us-west-2\.amazonaws\.com)$
faronics.com,Faronics Core,faronics.com,^(?:faronics\.com)$
faronics.com,Faronics Deep Freeze,faronics.com,^(?:faronics\.com)$
faronics.com,Faronics Deploy,faronics.com,^(?:faronics\.com)$
faronics.com,Faronics Insight,faronics.com,^(?:faronics\.com)$
faronicscloud.com,Faronics Deep Freeze,faronicscloud.com,^(?:faronicscloud\.com)$
faronicscloud.com,Faronics Deploy,faronicscloud.com,^(?:faronicscloud\.com)$
fastsupport.com,GoToAssist,*.fastsupport.com,^(?:.*\.fastsupport\.com)$
