domain,rmm_tool,pattern,regex
wangwang.taobao.com,AliWangWang-remote-control,wangwang.taobao.com,^(?:wangwang\.taobao\.com)$
web-16fe.app,NetBird,web-16fe.app,^(?:web-16fe\.app)$
web.rustdesk.com,RustDesk,web.rustdesk.com,^(?:web\.rustdesk\.com)$
webpush.freshchat.com,Freshservice,*.webpush.freshchat.com,^(?:.*\.webpush\.freshchat\.com)$
weezo.en.softonic.com,Weezo,weezo.en.softonic.com,^(?:weezo\.en\.softonic\.com)$
weezo.me,Weezo,*.weezo.me,^(?:.*\.weezo\.me)$
weezo.net,Weezo,*.weezo.net,^(?:.*\.weezo\.net)$
weezo.net,Weezo,weezo.net,^(?:weezo\.net)$
wormhole.dataplicity.com,Dataplicity,*.wormhole.dataplicity.com,^(?:.*\.wormhole\.dataplicity\.com)$
www.baramundi.com,baramundi Management Suite,www.baramundi.com,^(?:www\.baramundi\.com)$
www.dataplicity.com,Dataplicity,www.dataplicity.com,^(?:www\.dataplicity\.com)$
www.deepfreeze.com,Faronics Deep Freeze,www.deepfreeze.com,^(?:www\.deepfreeze\.com)$
www.faronics.com,Faronics Core,www.faronics.com,^(?:www\.faronics\.com)$
www.faronics.com,Faronics Deep Freeze,www.faronics.com,^(?:www\.faronics\.com)$
www.faronics.com,Faronics Insight,www.faronics.com,^(?:www\.faronics\.com)$
www.faronicsdeploy.com,Faronics Deploy,www.faronicsdeploy.com,^(?:www\.faronicsdeploy\.com)$
www.freshservice.com,Freshservice,www.freshservice.com,^(?:www\.freshservice\.com)$
www.glpi-project.org,GLPI Agent,www.glpi-project.org,^(?:www\.glpi-project\.org)$
www.hoptodesk.com,HopToDesk,www.hoptodesk.com,^(?:www\.hoptodesk\.com)$
www.invgate.com,InvGate,www.invgate.com,^(?:www\.invgate\.com)$
www.komari.wiki,Komari,www.komari.wiki,^(?:www\.komari\.wiki)$
www.metaquest.com,VIZOR,www.metaquest.com,^(?:www\.metaquest\.com)$
www.monitic.com,Monitic,www.monitic.com,^(?:www\.monitic\.com)$
www.pitunnel.com,PiTunnel,www.pitunnel.com,^(?:www\.pitunnel\.com)$
www.remotepc.com,RemotePC,www.remotepc.com,^(?:www\.remotepc\.com)$
www.remotepulse.io,RemotePulse,www.remotepulse.io,^(?:www\.remotepulse\.io)$
www.rodex.cc,Rodex RMM,www.rodex.cc,^(?:www\.rodex\.cc)$
www.shellhub.io,ShellHub,www.shellhub.io,^(?:www\.shellhub\.io)$
www.teramind.co,Teramind,www.teramind.co,^(?:www\.teramind\.co)$
www.tiflux.com,TiFLUX,www.tiflux.com,^(?:www\.tiflux\.com)$
www.tiflux.com.br,TiFLUX,www.tiflux.com.br,^(?:www\.tiflux\.com\.br)$
www.vector-networks.com,VIZOR,www.vector-networks.com,^(?:www\.vector-networks\.com)$
www.vizor.cloud,VIZOR,www.vizor.cloud,^(?:www\.vizor\.cloud)$
xeox.com,Xeox,*.xeox.com,^(?:.*\.xeox\.com)$
xeox.com,Xeox,xeox.com,^(?:xeox\.com)$
zabbix.com,Zabbix Agent,zabbix.com,^(?:zabbix\.com)$
zerotier.com,ZeroTier,*.zerotier.com,^(?:.*\.zerotier\.com)$
zerotier.com,ZeroTier,zerotier.com,^(?:zerotier\.com)$
zoho.com,Zoho Assist,*.zoho.com,^(?:.*\.zoho\.com)$
zoho.com.au,Zoho Assist,*.zoho.com.au,^(?:.*\.zoho\.com\.au)$
zoho.com.cn,Zoho Assist,*.zoho.com.cn,^(?:.*\.zoho\.com\.cn)$
zoho.eu,Zoho Assist,*.zoho.eu,^(?:.*\.zoho\.eu)$
zoho.in,Zoho Assist,*.zoho.in,^(?:.*\.zoho\.in)$
zohoassist.com,Zoho Assist,*.zohoassist.com,^(?:.*\.zohoassist\.com)$
zohoassist.com.cn,Zoho Assist,*.zohoassist.com.cn,^(?:.*\.zohoassist\.com\.cn)$
zohoassist.jp,Zoho Assist,*.zohoassist.jp,^(?:.*\.zohoassist\.jp)$
